complaint_number,request_date,complaint_date,complaint_channel,complainer_kind,complainer_name,complaint_topic,complaint_against,original_request_topic,status,decision,termination_date,days_to_treat
 307/23,25/06/2023,01/08/2023,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,היתרים להעסקת עובדים זרים,termination of treatment,justified,10/08/2023,9
 317/23,25/05/2023,09/08/2023,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,מידע אישי,termination of treatment,justified,28/03/2024,232
 150/24,10/01/2024,10/05/2024,online form,other,,failure to respond,משרד התחבורה והבטיחות בדרכים,פרטים אודות מכון הדרום,termination of treatment,justified,12/08/2024,95
 497/23,24/05/2023,26/12/2023,online form,other,,failure to respond,משרד הבריאות,זיהומים ומכונות אקמו,termination of treatment,justified,29/01/2024,34
 276/22,07/02/2022,22/06/2022,online form,citizen,,failure to respond,משרד הבריאות,תגובות לתלונות,termination of treatment,justified,11/09/2022,81
 228/22,05/01/2022,25/05/2022,online form,citizen,,failure to respond,שירות בתי הסוהר,יחידת צור,termination of treatment,justified,15/06/2022,21
 122/22,09/08/2021,24/03/2022,online form,citizen,,failure to respond,משרד הבריאות,פנייתי לחוק חופש המידע במשרד הבריאות 283829,termination of treatment,justified,13/04/2022,20
 220/22,06/03/2022,19/05/2022,online form,citizen,,failure to respond,האפוטרופוס הכללי והכונס הרשמי,בקשות - וועד מקומי פדואל,termination of treatment,justified,10/08/2022,83
 404/22,27/04/2022,16/10/2022,online form,citizen,,failure to respond,"צהל""","נתונים אודות חיילים בודדים בצהל""",termination of treatment,justified,03/05/2023,199
 594/21,24/06/2021,24/11/2021,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,קבלת תיק אישי,termination of treatment,justified,14/04/2022,141
 39/23,06/01/2023,07/02/2023,online form,non-profit organization,מגן ביטחון,failure to respond,משרד האוצר,"פעילות משרד האוצר ביחס לפנסיה הצוברת בצהל""",termination of treatment,unjustified,08/06/2023,121
 51/24,07/11/2023,07/02/2024,online form,citizen,,failure to respond,"צהל""","קבלת הצו על הצבת שלט שטח צבאי סגור"" בשטח פרטי""",termination of treatment,justified,15/04/2024,68
 119/22,06/02/2022,23/03/2022,online form,citizen,,failure to respond,רשות מקרקעי ישראל,הקצאת מקרקעין,termination of treatment,unjustified,31/03/2022,8
 31/22,14/12/2021,26/01/2022,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,בקשה לקבלת מידע אודות אישורי כבאות במחוז צפון,termination of treatment,justified,03/03/2022,36
 213/23,21/02/2023,31/05/2023,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,נשים מאוימות בלוד,termination of treatment,justified,13/07/2023,43
 82/24,18/12/2023,09/03/2024,online form,non-profit organization,החברה להגנת הטבע,failure to respond,משרד החקלאות ופיתוח הכפר,דיג מכמורת לצרכי מחקר מצפון לדור,termination of treatment,justified,27/03/2024,18
 613/21,04/11/2021,16/12/2021,online form,citizen,,failure to respond,הנהלת בתי הדין הרבניים,מניעת נישואי קרובים- בנק הזרע,termination of treatment,justified,09/02/2022,55
 131/24,26/02/2024,30/04/2024,online form,citizen,,failure to respond,משרד המשפטים,כתבי אישום בעבירות הסתה  לפי דת,termination of treatment,unjustified,06/05/2024,6
 493/23,13/10/2023,13/12/2023,online form,citizen,,failure to respond,משרד המשפטים,failure to respond  סמוכין 392585 מתאריך 13.10.23 ,termination of treatment,unjustified,14/12/2023,1
 108/22,05/01/2022,20/03/2022,online form,citizen,,failure to respond,משרד הבריאות,קבלת הוראת נוהל,termination of treatment,justified,11/04/2022,22
 290/24,11/04/2024,12/08/2024,online form,citizen,,failure to respond,משרד הבריאות,"צטמ וצוות להתפרצות הפוליו - ניגודי עניינים""",termination of treatment,justified,26/09/2024,46
 140/24,20/08/2023,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 294/22,22/03/2022,13/07/2022,online form,citizen,,failure to respond,משטרת ישראל,נהלי חקירת ירי,termination of treatment,justified,28/08/2022,46
 275/23,18/07/2023,18/07/2023,online form,non-profit organization,תורת לחימה,failure to respond,"צהל""",מימון לתהליכי שינוי מין,termination of treatment,justified,21/09/2023,65
 394/23,29/03/2023,04/09/2023,online form,non-profit organization,האגודה לזכויות האזרח,failure to respond,שירות בתי הסוהר,אסירים זרים,termination of treatment,justified,24/01/2024,143
 325/23,19/04/2022,14/08/2023,online form,citizen,,failure to respond,משרד התיירות,מידע דחוף,termination of treatment,justified,07/03/2024,206
5/22,27/05/2021,03/01/2022,online form,other,,failure to respond,משרד הבריאות,וועדת ההיגוי לטיפול במרחבים סגורים ,termination of treatment,justified,26/05/2022,143
 225/24,14/03/2024,26/06/2024,online form,non-profit organization,המרכז להעצמת האזרח,failure to respond,משרד העבודה,"יישום החלטת ממשלה 1226 - הוקרה, סיוע ותגמול לחיילי מילואים המשרתים במלחמת חרבות ברזל"" ותיקון החלטת ממשלה""",termination of treatment,justified,03/07/2024,7
 302/24,17/04/2024,25/08/2024,online form,citizen,,failure to respond,משרד הבריאות,מפעלי מזון במחוז חיפה,termination of treatment,justified,08/10/2024,44
 97/24,19/09/2023,17/03/2024,online form,citizen,,failure to respond,משרד העבודה,עגורנאים,termination of treatment,justified,29/05/2024,73
 141/23,16/11/2022,03/04/2023,online form,citizen,,failure to respond,משרד הבריאות,מסמכים ביחס לדיווח על אשפוזו ומותו של איתי למברסקי,termination of treatment,justified,07/09/2023,157
 217/22,14/03/2022,19/05/2022,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,מתן כמויות  של מים שהוזרמו לאגודה ובקשות נוספות,termination of treatment,justified,13/07/2022,56
 311/23,29/05/2023,06/08/2023,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,אלין בית נועם - פרוטוקולים,termination of treatment,justified,19/09/2023,44
 366/23,23/07/2023,24/08/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,פיילוט הסעות בחינוך המיוחד,termination of treatment,unjustified,30/08/2023,6
 605/21,24/08/2021,07/12/2021,online form,citizen,,failure to respond,"צהל""","דין משמעתי של חיילי צהל""",termination of treatment,justified,14/02/2022,69
 36/22,26/12/2021,30/01/2022,online form,citizen,,failure to respond,בית חולים וולפסון,שאלוני שביעות רצון חדר 4,termination of treatment,justified,27/02/2022,28
 317/24,29/04/2024,08/09/2024,online form,non-profit organization,העמותה הקהילתית גבעת מרדכי,failure to respond,משרד הבריאות,ניגודי עניינים בועדת סל התרופות,termination of treatment,justified,15/10/2024,37
 596/21,02/05/2021,26/11/2021,online form,other,,failure to respond,המשרד להגנת הסביבה,אכיפה ורגולציה בענפי החקלאות מהחי,termination of treatment,justified,26/05/2022,182
8/23,23/11/2022,08/01/2023,online form,citizen,,failure to respond,המשרד להגנת הסביבה,מסדרון וצוואר בקבוק אקולוגי גדרה,termination of treatment,unjustified,22/05/2024,500
 74/23,28/12/2022,01/03/2023,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד הבריאות,חלופות ניסויים משרד הבריאות,termination of treatment,justified,15/06/2023,106
 385/24,06/05/2023,07/11/2024,online form,citizen,,failure to respond,משרד הבריאות, דיווחים על תופעות לוואי בדף הפייס,undergoing treatment,,,21
3/24,19/09/2023,02/01/2024,online form,non-profit organization,מרכז טאוב לחקר המדיניות החברתית בישראל,failure to respond,המשרד להגנת הסביבה,דוחות נתוני איכות אויר,termination of treatment,unjustified,18/01/2024,16
 298/23,15/06/2023,27/07/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,משרד המשפטים,עיון בהקדש,termination of treatment,justified,24/08/2023,28
 397/24,15/09/2024,14/11/2024,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",הכנסת והוצאת כספים אל ומרצועת עזה,termination of treatment,unjustified,17/11/2024,3
 58/24,05/02/2024,14/02/2024,online form,citizen,,failure to respond,משרד המשפטים,חופש מידע ,termination of treatment,unjustified,15/02/2024,1
 351/24,23/11/2023,08/10/2024,online form,citizen,,failure to respond,רשות החברות הממשלתיות,התקשרויות מערכת הביטחון הוראת שעה,termination of treatment,justified,14/11/2024,37
 231/23,10/05/2023,15/06/2023,online form,non-profit organization,אלוט,failure to respond,משרד החינוך,קיצור ימי לימודים תשפג,termination of treatment,justified,06/07/2023,21
 33/24,27/12/2023,01/02/2024,online form,citizen,,failure to respond,המשרד לביטחון לאומי,נתונים על בקשות לקבלת רשיון נשק,termination of treatment,justified,29/02/2024,28
 162/22,21/11/2021,13/04/2022,online form,company,,failure to respond,משרד הרווחה והשירותים החברתיים,אישור או התנגדות למינוי מנהלי עבודה בבנייה,termination of treatment,justified,11/09/2022,151
 402/24,15/07/2024,20/11/2024,online form,other,,failure to respond,מנהל citizenי אזור יהודה ושומרון,מסמכים בגין בקשה להיתר בניה,undergoing treatment,,,8
 255/22,23/02/2022,13/06/2022,online form,non-profit organization,ארגון אלמנות ויתומי צהל,failure to respond,"צהל""","נתונים תגמולים אלמנות צהל""",termination of treatment,justified,04/09/2022,83
 134/23,22/01/2023,02/04/2023,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",אי-מתן מענה,termination of treatment,justified,10/08/2023,130
 479/22,22/06/2022,12/12/2022,online form,citizen,,failure to respond,משרד הבינוי והשיכון,"הגרלה 472 פרוייקט השמורה"" - האחים חסיד""",termination of treatment,justified,05/01/2023,24
 89/24,11/02/2024,14/03/2024,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,נוהל פריסת פקחים בקווי עליה מכל הדלתות,termination of treatment,justified,22/05/2024,70
 145/23,15/03/2023,16/04/2023,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,פרוטוקול ועדת האכיפה,termination of treatment,justified,18/12/2023,246
 123/22,23/08/2021,24/03/2022,online form,citizen,,failure to respond,משרד הבריאות,פנייה מספר 285393,termination of treatment,unjustified,09/05/2022,46
 487/22,18/10/2022,22/12/2022,online form,citizen,,failure to respond,משרד החינוך,"פרוייקט צילה""",termination of treatment,justified,20/02/2023,60
 58/22,14/02/2022,14/02/2022,online form,other,,failure to respond,משרד ראש הממשלה,גיורים וועדות חריגים,termination of treatment,justified,26/05/2022,101
 180/22,10/03/2022,25/04/2022,online form,citizen,,failure to respond,המשרד להגנת הסביבה,בקשה לקבלת סיכום פגישה קמין עצים,termination of treatment,unjustified,16/05/2022,21
 45/22,24/11/2021,07/02/2022,online form,citizen,,failure to respond,משרד הבריאות,אימות מידע שהתקבל ממוסד other ,termination of treatment,justified,26/05/2022,108
 355/24,02/05/2024,10/10/2024,online form,citizen,,failure to respond,משרד הפנים,מידע על זכאות משפחות לתווי מזון לפי ישוב ,termination of treatment,justified,27/11/2024,48
 324/22,02/08/2022,03/08/2022,online form,citizen,,lack of reasoning,רשות האוכלוסין וההגירה,תעודות מעבר לילדי אומנה חסרי מעמד ,termination of treatment,unjustified,18/08/2022,15
 242/23,26/05/2022,22/06/2023,online form,non-profit organization,טרנסג'נדרים למען צדק חברתי,failure to respond,משרד הבריאות,זמני המתנה לניתוח להתאמה מגדרית,termination of treatment,justified,20/12/2023,181
 152/22,23/11/2021,06/04/2022,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,קבלת חומרים נלווים בנוגע לפרסום,termination of treatment,justified,01/08/2022,117
 279/22,27/02/2022,27/06/2022,online form,other,,failure to respond,משרד התיירות,מיזם אמפיסטאר מכתש רמון,termination of treatment,justified,20/07/2022,23
 229/23,02/01/2023,15/06/2023,online form,citizen,,failure to respond,רשות האוכלוסין וההגירה,מדיניות התנדבות ,termination of treatment,justified,04/09/2023,81
 273/23,24/09/2022,14/07/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,המשרד להגנת הסביבה,פעילות מוקד הסביבה,termination of treatment,justified,25/07/2023,11
 285/22,15/05/2022,30/06/2022,online form,citizen,,failure to respond,משרד החינוך,בירור לגבי העברת מענק מיוחד,termination of treatment,justified,05/07/2022,5
 422/22,22/05/2022,04/11/2022,online form,citizen,,failure to respond,משרד הבריאות,מחלת פוליו בארץ,termination of treatment,justified,04/05/2023,181
 385/22,17/07/2022,18/09/2022,online form,citizen,,failure to respond,משרד הבריאות,מידע חייב בפרסום לעניין אישי,termination of treatment,justified,03/05/2023,227
 138/23,21/06/2021,03/04/2023,online form,citizen,,failure to respond,משרד הבריאות,פעילות הדסק החרדי בקורונה,termination of treatment,justified,10/08/2023,129
 408/22,05/09/2022,18/10/2022,online form,other,,failure to respond,רשות החברות הממשלתיות, פרטים על הוועדה המייעצת בנושא מינוי דירקטורים,termination of treatment,unjustified,23/04/2023,187
 289/22,15/02/2022,06/07/2022,online form,other,,failure to respond,משרד הבריאות,מידע לגבי יבוא טובין,termination of treatment,justified,11/09/2022,67
 244/24,02/05/2024,11/07/2024,online form,citizen,,failure to respond,משרד הפנים,נתונים לגבי תווי המזון - סבב שני ,termination of treatment,unjustified,15/07/2024,4
 337/24,16/07/2024,26/09/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,"מידע בנוגע להרחבה בכפר פינס, תוכניות והסכם פשרה",termination of treatment,justified,14/10/2024,18
 137/23,15/01/2023,03/04/2023,online form,non-profit organization,החברה להגנת הטבע,failure to respond,משרד החקלאות ופיתוח הכפר,אגף הדיג,termination of treatment,justified,10/07/2023,99
 118/22,09/02/2022,23/03/2022,online form,citizen,,failure to respond,משרד הבריאות,החלטות בדבר בנק הדם,termination of treatment,justified,26/05/2022,64
 426/22,05/09/2022,10/11/2022,online form,other,,failure to respond,רשות החברות הממשלתיות,failure to respond גם otherי ארכה,termination of treatment,justified,23/04/2023,164
 375/22,04/07/2022,05/09/2022,online form,citizen,,failure to respond,"צהל""",מידע על התנהלות בשער שני במודל הקבע,termination of treatment,justified,04/05/2023,241
 278/23,10/02/2022,19/07/2023,online form,citizen,,failure to respond,משרד התיירות,בקשת מידע,termination of treatment,unjustified,29/02/2024,225
 40/23,23/09/2022,07/02/2023,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",מספר הפלסטינים בגדה המערבית וברצועת עזה,termination of treatment,justified,19/02/2023,12
 386/24,13/06/2024,08/11/2024,online form,non-profit organization,נדן - סיוע משפטי לחיילים בשירות חובה,failure to respond,משרד המשפטים,מתווכים,termination of treatment,justified,18/11/2024,10
 374/22,31/08/2022,04/09/2022,online form,citizen,,failure to respond,משרד הביטחון,מידע על אגף שיקום נכים במשהבט,termination of treatment,unjustified,08/09/2022,4
 140/23,18/12/2022,03/04/2023,online form,non-profit organization,מגן ביטחון,failure to respond,"צהל""","פגישות נציגי צהל עם נציגי משרד האוצר בנושא תקנות """,termination of treatment,justified,10/07/2023,98
 248/22,07/02/2022,08/06/2022,online form,citizen,,failure to respond,משרד הבריאות,הוספת סטודנטים לרפואה,termination of treatment,justified,01/08/2022,55
 441/23,01/03/2023,27/10/2023,online form,citizen,,failure to respond,משרד האוצר,failure to respond סמוכין 361890 מתאריך 01.03.23 ,termination of treatment,unjustified,14/12/2023,48
 399/22,28/08/2022,02/10/2022,online form,citizen,,failure to respond,משרד החינוך,נהלי טראנסג'נדרים ,termination of treatment,justified,20/04/2023,200
 256/24,09/06/2024,15/07/2024,online form,citizen,,lack of reasoning,משטרת ישראל,הסדר ניגוד עניינים,termination of treatment,unjustified,08/08/2024,24
 353/22,01/06/2022,22/08/2022,online form,non-profit organization,איחוד הישיבות בארי,failure to respond,"צהל""",קביעת תאריך גיוס,termination of treatment,justified,21/09/2022,30
 119/24,09/11/2023,15/04/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond סמוכין 395069 תאריך 09.11.23 ,termination of treatment,unjustified,15/04/2024,0
 69/22,16/01/2022,20/02/2022,online form,citizen,,failure to respond,משרד הבריאות,failure to respond בבקשה לקבלת מידע על פי חוק,termination of treatment,justified,26/05/2022,95
 467/23,11/08/2023,07/11/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,failure to respond לבקשה 11.08.23 סמוכין  384552 ,termination of treatment,unjustified,14/12/2023,37
 297/22,27/05/2022,18/07/2022,online form,citizen,,failure to respond,משרד התקשורת,"קבלת עותק רישיון רטן""",termination of treatment,justified,01/08/2022,14
 376/24,18/09/2024,03/11/2024,online form,citizen,,failure to respond,משרד הפנים,בקשת מידע - עבודת מטה,undergoing treatment,,,25
 220/24,19/02/2024,24/06/2024,online form,non-profit organization,העמותה הקהילתית גבעת מרדכי,failure to respond,משרד הבריאות,פירוט התקשרויות מאושרות למחקר,termination of treatment,justified,12/08/2024,49
 204/22,19/01/2022,10/05/2022,online form,citizen,,failure to respond,משרד האוצר,"נתוני משפטנים בצהל""",termination of treatment,justified,08/06/2022,29
 478/22,06/10/2022,12/12/2022,online form,other,,failure to respond,משרד הבריאות,בקשה לקבלת מידע בעניין רשימת המדינות כאמור בבקשתנו,termination of treatment,justified,07/02/2023,57
 204/23,23/03/2023,25/05/2023,online form,citizen,,failure to respond,משרד החינוך,בירור אפלייה ותנאי רפורמת אופק חדש,termination of treatment,justified,24/07/2023,61
 71/23,24/09/2022,28/02/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,הרשות הארצית לכבאות והצלה,שריפות פסולת,termination of treatment,justified,14/12/2023,290
 323/24,08/05/2024,15/09/2024,online form,citizen,,failure to respond,משרד הבריאות,"סגירת שלוחת ביהח שערי צדק ברח' הנביאים""",termination of treatment,justified,28/10/2024,43
 221/24,29/01/2023,25/06/2024,online form,citizen,,failure to respond,משרד הבריאות,מסמכים לגבי החיסון מותאם אומיקרון,termination of treatment,justified,12/08/2024,48
 472/23,13/11/2023,13/11/2023,online form,citizen,,failure to respond,המכון הרפואי לבטיחות בדרכים,דוח תאונת עבודה,termination of treatment,justified,21/12/2023,38
 476/22,17/05/2022,11/12/2022,online form,other,,failure to respond,משרד החינוך,אמיר לנציאנו,termination of treatment,justified,16/02/2023,67
 164/22,19/01/2022,14/04/2022,online form,company,,failure to respond,משרד הבינוי והשיכון,שימועים בגין עבירות בטיחות – רשם הקבלנים,termination of treatment,unjustified,28/04/2022,14
 247/23,06/09/2022,26/06/2023,online form,citizen,,failure to respond,הרבנות הראשית לישראל,העלמת מידע ,termination of treatment,unjustified,31/07/2023,36
8/24,05/09/2023,07/01/2024,online form,non-profit organization,מרכז טאוב לחקר המדיניות החברתית בישראל,lack of reasoning,משרד החינוך,מבחן מחוננים,termination of treatment,justified,18/01/2024,11
 390/24,08/08/2024,10/11/2024,online form,citizen,,failure to respond,משרד הבריאות,לימודי תרפיה באומנויות,undergoing treatment,,,18
 182/23,29/01/2023,11/05/2023,online form,citizen,,failure to respond,משרד האוצר,קבלת העתק מסמך תשובת שר האוצר,termination of treatment,unjustified,13/07/2023,63
 18/24,12/01/2024,14/01/2024,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,פסקי דין מאושרים לצו 348,termination of treatment,justified,07/03/2024,53
 255/24,25/03/2024,15/07/2024,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,משרד המשפטים,צו הורות פסיקתי,termination of treatment,justified,28/08/2024,44
 272/23,24/09/2022,14/07/2023,online form,non-profit organization,אזרחים למען אוויר נקי,failure to respond,המשרד להגנת הסביבה,פעילות המשטרה הירוקה,termination of treatment,justified,31/08/2023,48
 272/24,03/04/2024,21/07/2024,online form,citizen,,failure to respond,משרד האוצר,כספים שהוקפאו מהרשות הפלסטינית,termination of treatment,justified,14/08/2024,25
 404/23,20/04/2023,11/09/2023,online form,citizen,,failure to respond,משרד הבריאות,אצוות חיסון פייזר,termination of treatment,justified,10/01/2024,121
 215/22,04/12/2021,18/05/2022,online form,citizen,,failure to respond,מנהל citizenי אזור יהודה ושומרון,פעולות אכיפה בתחום איכות הסביבה,termination of treatment,justified,01/06/2022,14
 161/24,27/09/2023,12/05/2024,online form,citizen,,failure to respond,משרד הבריאות,הוצאות משרד הבריאות על משפיעני רשת,termination of treatment,justified,01/07/2024,51
 70/22,14/12/2021,20/02/2022,online form,citizen,,failure to respond,משרד ראש הממשלה,עלות חכירת מטוס מסחרי לטיסות,termination of treatment,justified,26/05/2022,95
 166/24,12/02/2023,20/05/2024,online form,citizen,,failure to respond,משרד הבריאות,אופן חישוב השתתפות בדמי אשפוז,termination of treatment,justified,01/07/2024,42
 51/22,09/09/2021,10/02/2022,online form,citizen,,failure to respond,המשרד להגנת הסביבה,רותם אמפרט,termination of treatment,justified,26/05/2022,105
 411/22,18/09/2022,19/10/2022,online form,non-profit organization,תחרות - התנועה לחירות בתעסוקה,failure to respond,משרד החינוך,פרטים על מורי החטיבות העליונות,termination of treatment,justified,03/05/2023,196
 259/24,13/03/2024,15/07/2024,online form,non-profit organization,מוסרי ארגון זכויות אדם יהודי,failure to respond,"צהל""",כריתת אשך ללא הסכמה,termination of treatment,justified,21/08/2024,37
 393/22,16/07/2022,20/09/2022,online form,citizen,,failure to respond,משרד הכלכלה,מתן חסויות על ידי משרד הכלכלה ועובדי ציברר ממשרד ה,termination of treatment,unjustified,04/05/2023,226
 72/22,22/02/2022,22/02/2022,online form,non-profit organization,תנו לחיות לחיות,failure to respond,משרד הבריאות,חלופות ניסויים משרד הבריאות,termination of treatment,justified,12/04/2022,49
 31/23,02/12/2022,27/01/2023,online form,citizen,,failure to respond,הרשות הארצית לכבאות והצלה,הנילונה לא מסרה את המסמכים המבוקשים,termination of treatment,justified,10/07/2023,164
 439/22,27/06/2022,20/11/2022,online form,citizen,,lack of reasoning,האפוטרופוס הכללי והכונס הרשמי,חופש מידע,termination of treatment,unjustified,18/05/2023,179
 72/23,26/09/2022,28/02/2023,online form,non-profit organization,אזרחים למען אוויר נקי,lack of reasoning,משרד החקלאות ופיתוח הכפר,שריפות גזם ופסולת חקלאית,termination of treatment,justified,07/09/2023,192
 109/22,16/02/2022,20/03/2022,online form,citizen,,lack of reasoning,משטרת ישראל,"דוחות תנועה בצומת """,termination of treatment,unjustified,03/05/2022,44
 91/22,06/02/2022,10/03/2022,online form,citizen,,failure to respond,משרד החינוך,מעקב תהליכים - שאלון,termination of treatment,justified,29/03/2022,19
 27/23,12/12/2022,22/01/2023,online form,citizen,,failure to respond,משרד הפנים,בקשה למידע ציבורי- הקצאות מקרקעין,termination of treatment,justified partially,14/12/2023,326
 112/22,03/01/2022,22/03/2022,online form,citizen,,failure to respond,משרד התיירות,הקצאת מקרקעין,termination of treatment,justified,27/04/2022,36
 367/22,10/05/2022,29/08/2022,online form,citizen,,failure to respond,"צהל""","נתונים על אירועים לבבים בצהל בשנים 18-21""",termination of treatment,justified,04/05/2023,248
 629/21,30/04/2021,23/12/2021,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,מידע בנושא מעבר מבחני רשיונות,termination of treatment,justified,07/02/2022,46
 614/21,21/10/2021,17/12/2021,online form,citizen,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",מידע בנוגע לפעילות יחידת הפיקוח,termination of treatment,unjustified,09/03/2022,83
 234/24,07/06/2023,05/07/2024,online form,citizen,,failure to respond,משרד הבריאות,"נתונים אודות תחומים שונים (ריטלין, פסיכיאטריה, נזעי חשמל, פירכוס, אובדנות, אשפוז בכפיה ועוד)",termination of treatment,unjustified,24/09/2024,81
 246/23,07/05/2023,25/06/2023,online form,other,,failure to respond,"מתאם פעולות הממשלה בשטחים (מתפש)""",אופן הטלת מניעה,termination of treatment,justified,27/09/2023,94
 274/22,15/06/2022,21/06/2022,online form,citizen,,lack of reasoning,משרד המשפטים,מספר עובדים עם מוגבלות משמעותית ,termination of treatment,unjustified,28/06/2022,8
 30/22,14/12/2021,26/01/2022,online form,citizen,,failure to respond,משרד העבודה,קבלת מידע על מכללות לתחבורה בצפון,termination of treatment,justified,13/02/2022,18
 217/24,13/05/2024,23/06/2024,online form,citizen,,failure to respond,הרשות להגנת הצרכן ולסחר הוגן,אי קבלת מענה ענייני,termination of treatment,unjustified,10/07/2024,17
 139/24,13/08/2023,02/05/2024,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע דחוף,termination of treatment,unjustified,25/07/2024,84
 637/21,17/11/2021,27/12/2021,online form,citizen,,failure to respond,משרד התחבורה והבטיחות בדרכים,תגמולים לחברות על תיקופים של הנוסעים,termination of treatment,justified,27/02/2022,62
 60/22,08/01/2022,14/02/2022,online form,citizen,,failure to respond,משרד החינוך,פירוט חלוקת תמיכות,termination of treatment,justified,26/05/2022,101
 75/23,25/01/2023,01/03/2023,online form,citizen,,failure to respond,משרד החינוך,פרוטוקול וועדה פריטטית,termination of treatment,justified,03/05/2023,63
 346/22,11/02/2021,19/08/2022,online form,citizen,,failure to respond,משטרת ישראל,"בקשה לקבלת תיק חקירה פלא 19/373477""",termination of treatment,unjustified,08/09/2022,20
 368/23,30/03/2022,24/08/2023,online form,citizen,,failure to respond,מינהל התכנון,בקשות ותכניות,termination of treatment,unjustified,04/09/2023,11
 62/24,18/12/2023,20/02/2024,online form,citizen,,failure to respond,משרד התקשורת,מספר מקוצר כוכבית וארבע ספרות,termination of treatment,justified,04/03/2024,13
 276/23,30/03/2023,18/07/2023,online form,citizen,,failure to respond,"רשות שוק ההון, הביטוח והחיסכון",המסלקה הפנסיונית,termination of treatment,justified,21/09/2023,65
 268/23,03/07/2023,10/07/2023,online form,citizen,,failure to respond,רשות מקרקעי ישראל,מידע על עסקאות ,termination of treatment,unjustified,10/07/2023,0
 126/23,28/02/2023,26/03/2023,online form,citizen,,failure to respond,משרד המשפטים,failure to respond,termination of treatment,unjustified,10/05/2023,45
 61/22,08/01/2022,14/02/2022,online form,citizen,,failure to respond,משרד הרווחה והשירותים החברתיים,פירוט חלוקת תמיכות,termination of treatment,justified,17/02/2022,3
 104/24,07/11/2023,03/04/2024,online form,citizen,,failure to respond,משרד המשפטים,failure to respond !במועד! סמוכין 394794 תאריך 07.11.23 ,termination of treatment,unjustified,03/04/2024,0
 149/24,12/02/2024,09/05/2024,online form,other,,failure to respond,משרד המשפטים,כתבי אישום,termination of treatment,justified,22/05/2024,13
 457/22,12/07/2022,28/11/2022,online form,other,,failure to respond,משרד הבריאות,תיקון העלון לתרופת פרופסיה,termination of treatment,justified,10/07/2023,224
 376/22,02/08/2022,06/09/2022,online form,citizen,,failure to respond,משרד החינוך,וועדת החריגים תמריצים,termination of treatment,justified,14/09/2022,8
 76/23,29/01/2023,02/03/2023,online form,citizen,,failure to respond,משרד החקלאות ופיתוח הכפר,failure to respond לבקשת מידע  29.01.23 סמוכין 357354 ,termination of treatment,unjustified,14/12/2023,287
 248/24,20/02/2024,14/07/2024,online form,other,,failure to respond,משרד האוצר,נגישות לאנשים עם מוגבלות,termination of treatment,justified,28/08/2024,45
 105/22,23/01/2022,14/03/2022,online form,citizen,,failure to respond,משרד העבודה,מחקר תחלואת סרטן עודפת,termination of treatment,justified,26/05/2022,73
 268/24,16/05/2024,17/07/2024,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,פרוטוקולים ותכוניות בנייה,termination of treatment,unjustified,08/10/2024,84
 151/22,07/02/2022,05/04/2022,online form,citizen,,failure to respond,משרד הבריאות,הוספת סטודנטים לרפואה,termination of treatment,justified partially,27/04/2022,22
 296/22,03/03/2022,17/07/2022,online form,citizen,,failure to respond,הנהלת בתי המשפט,הכשרות שופטים בנושא אלימות מינית,termination of treatment,justified,14/09/2022,59
 591/21,20/10/2021,24/11/2021,online form,citizen,,lack of reasoning,משרד התחבורה והבטיחות בדרכים,קבלת מידע נוקדות חובה,termination of treatment,unjustified,12/12/2021,18
 501/22,12/09/2022,25/12/2022,online form,non-profit organization,החברה להגנת הטבע,failure to respond,"צהל""",תאורה באסדת הגז לוויתן,termination of treatment,justified,28/03/2023,93
