"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 401/24","14/07/2024","20/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","דוחות בקרה בגני תקשורת במודיעין","בטיפול","","","5",
" 22/23","12/12/2022","16/01/2023","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","מסמכים אישיים","סיום טיפול","מוצדק","12/03/2023","55",
" 67/23","18/12/2022","21/02/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","תשלום וטיפול בבקשות פורשים לקבלת העתק מן התיק האיש","סיום טיפול","מוצדק","11/05/2023","79",
" 93/22","15/12/2021","13/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הביטחון","תקצוב","סיום טיפול","מוצדק","24/03/2022","11",
" 183/24","07/05/2024","22/05/2024","טופס מקוון","אזרח","","חוסר בהנמקה","הנהלת בתי הדין הרבניים","מאגר שו"ת של מבחני טוענים רבניים","סיום טיפול","בלתי מוצדק","13/06/2024","22",
" 207/23","11/12/2022","30/05/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משטרת ישראל","אכיפה נגד מחאות","סיום טיפול","מוצדק","25/07/2023","56",
" 132/24","20/03/2024","01/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","פרסום נהלים מינהל הבטיחות והבריאות","סיום טיפול","מוצדק","12/09/2024","134",
" 55/24","20/10/2023","13/02/2024","טופס מקוון","עמותה","מרכז רקמן, אוניברסיטת בר אילן","אי מתן מענה","משרד המשפטים","מידע לשנתון סטטיסטי- סיוע משפטי","סיום טיפול","בלתי מוצדק","06/03/2024","23",
" 308/24","19/03/2024","02/09/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","קבלת מידע על מכונים לצילום רנטגן דנטליים","סיום טיפול","מוצדק","10/10/2024","38",
" 281/23","31/01/2023","19/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","ועדת החמישה","סיום טיפול","מוצדק","24/07/2023","5",
" 276/24","05/05/2024","28/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משטרת ישראל","קבלת רשימת תלונות שהוגשו","סיום טיפול","בלתי מוצדק","31/07/2024","3",
" 100/23","18/01/2023","06/03/2023","טופס מקוון","עמותה","ק.מ.ח. קידום מקצועי חרדי ע"ר","אי מתן מענה","רשות החברות הממשלתיות","נבחרת הדירקטורים 2022","סיום טיפול","מוצדק","24/05/2023","79",
" 80/24","05/11/2023","08/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה סמוכין 394563 מתאריך 05.11.23 ","סיום טיפול","בלתי מוצדק","13/03/2024","5",
" 312/23","12/06/2023","06/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אי מתן מענה אורן לביא מנכ"ל לבקשת מידע 375457 ","סיום טיפול","בלתי מוצדק","14/12/2023","130",
" 90/24","12/02/2024","14/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פעילות אוטובוס מס' רישוי 37-789-55","סיום טיפול","בלתי מוצדק","03/04/2024","21",
" 257/24","15/02/2024","15/07/2024","טופס מקוון","עמותה","מוסרי ארגון זכויות אדם יהודי","אי מתן מענה","משרד הבריאות","נטילת זרע מנפטר - כריתת אשכים","סיום טיפול","מוצדק","21/08/2024","37",
" 247/22","17/10/2021","07/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","קיצור שבוע הלימודים","סיום טיפול","מוצדק","13/06/2022","6",
" 210/23","03/01/2023","30/05/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משרד המשפטים","נהלים ומדיניות- פרקליטות המדינה","סיום טיפול","מוצדק","12/07/2023","43",
" 292/23","04/05/2023","26/07/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","גיור בישראל","סיום טיפול","מוצדק","31/07/2023","5",
" 230/22","05/04/2022","28/05/2022","טופס מקוון","אזרח","","חוסר בהנמקה","משרד הבינוי והשיכון","גילוי מסמכים בעניין הצמדת מדד תשומות הבניה","סיום טיפול","בלתי מוצדק","30/05/2022","2",
" 320/22","09/09/2021","02/08/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","דוח ביקורת מלון פלזה - נוף הגליל","סיום טיפול","מוצדק","09/02/2023","191",
" 135/23","11/12/2022","02/04/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","אי-מתן מענה (מס"ד)","סיום טיפול","מוצדק","28/06/2023","87",
" 638/21","23/12/2021","27/12/2021","טופס מקוון","חברה","","אי מתן מענה","משרד הכלכלה","מענה לחופש המידע","סיום טיפול","בלתי מוצדק","10/03/2022","73",
" 414/23","06/08/2023","12/09/2023","טופס מקוון","אזרח","","אי מתן מענה","המשרד לירושלים ומורשת","ועדת איתור ליועמש","סיום טיפול","בלתי מוצדק","20/09/2023","8",
" 277/23","20/03/2022","19/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","אין מתן מענה","סיום טיפול","בלתי מוצדק","29/02/2024","225",
" 500/22","02/08/2022","25/12/2022","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","המשרד להגנת הסביבה","תאורה באסדת הגז לוויתן","סיום טיפול","מוצדק","03/05/2023","129",
" 241/24","30/05/2024","08/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תלונה על קבלת מידע שלא על פי החוק","סיום טיפול","מוצדק","08/08/2024","31",
" 361/24","23/09/2023","14/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תיק אישי של התמיד ","סיום טיפול","בלתי מוצדק","16/10/2024","2",
" 391/24","22/08/2023","10/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","חיסון נשים הרות נגד נגיף הקורונה","בטיפול","","","15",
" 320/24","24/04/2022","11/09/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","תיק אישי","סיום טיפול","בלתי מוצדק","16/09/2024","5",
" 224/24","11/02/2024","25/06/2024","טופס מקוון","עמותה","העמותה הקהילתית גבעת מרדכי","אי מתן מענה","משרד הבריאות","חיסון הפפילומה - יעילות ותופעות","סיום טיפול","מוצדק","12/08/2024","48",
" 430/23","15/09/2023","14/10/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","קבלת סיכום טיפול בפניה","סיום טיפול","בלתי מוצדק","18/12/2023","65",
" 227/22","18/05/2022","24/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","דו"ח תיקופים מפורט","סיום טיפול","מוצדק","10/08/2022","78",
" 216/22","09/01/2022","18/05/2022","טופס מקוון","עמותה","התעוררות בירושלים","אי מתן מענה","המשרד להגנת הסביבה","פחים כתומים עיריית ירושלים","סיום טיפול","מוצדק","01/08/2022","75",
" 57/22","12/12/2021","14/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","הספריה הלאומית","סיום טיפול","מוצדק","26/05/2022","101",
" 180/23","21/01/2023","10/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","הפגנה מיום 14/01/2023","סיום טיפול","מוצדק חלקית","29/06/2023","50",
" 488/22","22/10/2022","22/12/2022","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי המשפט","בקשת מידע צווים שיפוטים","סיום טיפול","בלתי מוצדק","22/12/2022","0",
" 95/22","31/08/2021","13/03/2022","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד החקלאות ופיתוח הכפר","ניצול תקציבים","סיום טיפול","מוצדק","19/05/2022","67",
" 146/24","22/10/2023","06/05/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","בירור בפרויקט מחיר למשתכן","סיום טיפול","מוצדק","13/06/2024","38",
" 213/24","05/02/2024","20/06/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תוכנית התחבורה הציבורית מואז שדות דן","סיום טיפול","מוצדק","31/07/2024","41",
" 303/22","29/05/2022","20/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","פרטי מפעילי קייטנות","סיום טיפול","מוצדק","28/07/2022","8",
" 248/23","07/11/2022","26/06/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","נתונים על שריפות פסולת ועל אכיפה סביבתית ביו"ש","סיום טיפול","בלתי מוצדק","28/06/2023","3",
" 34/22","15/11/2021","28/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","הסברה בציבור החרדי","סיום טיפול","מוצדק","28/03/2022","59",
" 400/23","10/07/2023","07/09/2023","טופס מקוון","אזרח","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","בניין ארמון הנציב","סיום טיפול","בלתי מוצדק","29/11/2023","83",
" 32/23","05/12/2022","31/01/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בקשה לקבלת מידע ומסמכים בעניינה של המיוצגת ","סיום טיפול","מוצדק","08/06/2023","128",
" 63/23","11/01/2023","19/02/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","השעיית תלמידי חינוך מיוחד בבי"ס האלה במודיעין","סיום טיפול","מוצדק","29/03/2023","38",
" 35/23","06/12/2022","06/02/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","צה"ל","נתונים אודות פיטורים בעילת צמצום כוחות סדירים","סיום טיפול","מוצדק","11/05/2023","94",
" 55/22","31/01/2022","14/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","ועדת איתור ליועמ"ש","סיום טיפול","מוצדק","11/09/2022","209",
" 448/22","09/10/2022","24/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","בקשת מידע","סיום טיפול","בלתי מוצדק","22/12/2022","28",
" 316/24","13/06/2024","05/09/2024","טופס מקוון","אחר","","אי מתן מענה","משרד האוצר","ישיבות שר האוצר עם הגורמים המקצועיים במשרדו","סיום טיפול","מוצדק","07/10/2024","32",
" 287/22","22/05/2022","04/07/2022","טופס מקוון","עמותה","עד כאן - צעירים למען ישראל","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","העסקת פלסטינים במנהל האזרחי","סיום טיפול","מוצדק חלקית","05/07/2022","1",
" 428/23","04/07/2023","11/10/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","אי מתן מענה לבקשת מידע סמוכין 378452   04.07.23   ","סיום טיפול","בלתי מוצדק","14/12/2023","64",
" 307/23","25/06/2023","01/08/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","היתרים להעסקת עובדים זרים","סיום טיפול","מוצדק","10/08/2023","9",
" 317/23","25/05/2023","09/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","מידע אישי","סיום טיפול","מוצדק","28/03/2024","232",
" 150/24","10/01/2024","10/05/2024","טופס מקוון","אחר","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פרטים אודות מכון הדרום","סיום טיפול","מוצדק","12/08/2024","95",
" 497/23","24/05/2023","26/12/2023","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","זיהומים ומכונות אקמו","סיום טיפול","מוצדק","29/01/2024","34",
" 276/22","07/02/2022","22/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","תגובות לתלונות","סיום טיפול","מוצדק","11/09/2022","81",
" 228/22","05/01/2022","25/05/2022","טופס מקוון","אזרח","","אי מתן מענה","שירות בתי הסוהר","יחידת צור","סיום טיפול","מוצדק","15/06/2022","21",
" 122/22","09/08/2021","24/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פנייתי לחוק חופש המידע במשרד הבריאות 283829","סיום טיפול","מוצדק","13/04/2022","20",
" 220/22","06/03/2022","19/05/2022","טופס מקוון","אזרח","","אי מתן מענה","האפוטרופוס הכללי והכונס הרשמי","בקשות - וועד מקומי פדואל","סיום טיפול","מוצדק","10/08/2022","83",
" 404/22","27/04/2022","16/10/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","נתונים אודות חיילים בודדים בצה"ל","סיום טיפול","מוצדק","03/05/2023","199",
" 594/21","24/06/2021","24/11/2021","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","קבלת תיק אישי","סיום טיפול","מוצדק","14/04/2022","141",
" 39/23","06/01/2023","07/02/2023","טופס מקוון","עמותה","מגן ביטחון","אי מתן מענה","משרד האוצר","פעילות משרד האוצר ביחס לפנסיה הצוברת בצה"ל","סיום טיפול","בלתי מוצדק","08/06/2023","121",
" 51/24","07/11/2023","07/02/2024","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","קבלת הצו על הצבת שלט "שטח צבאי סגור" בשטח פרטי","סיום טיפול","מוצדק","15/04/2024","68",
" 119/22","06/02/2022","23/03/2022","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","הקצאת מקרקעין","סיום טיפול","בלתי מוצדק","31/03/2022","8",
" 31/22","14/12/2021","26/01/2022","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","בקשה לקבלת מידע אודות אישורי כבאות במחוז צפון","סיום טיפול","מוצדק","03/03/2022","36",
" 213/23","21/02/2023","31/05/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","נשים מאוימות בלוד","סיום טיפול","מוצדק","13/07/2023","43",
" 82/24","18/12/2023","09/03/2024","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","משרד החקלאות ופיתוח הכפר","דיג מכמורת לצרכי מחקר מצפון לדור","סיום טיפול","מוצדק","27/03/2024","18",
" 613/21","04/11/2021","16/12/2021","טופס מקוון","אזרח","","אי מתן מענה","הנהלת בתי הדין הרבניים","מניעת נישואי קרובים- בנק הזרע","סיום טיפול","מוצדק","09/02/2022","55",
" 131/24","26/02/2024","30/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","כתבי אישום בעבירות הסתה  לפי דת","סיום טיפול","בלתי מוצדק","06/05/2024","6",
" 493/23","13/10/2023","13/12/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה  סמוכין 392585 מתאריך 13.10.23 ","סיום טיפול","בלתי מוצדק","14/12/2023","1",
" 108/22","05/01/2022","20/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","קבלת הוראת נוהל","סיום טיפול","מוצדק","11/04/2022","22",
" 290/24","11/04/2024","12/08/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","צט"מ וצוות להתפרצות הפוליו - ניגודי עניינים","סיום טיפול","מוצדק","26/09/2024","46",
" 140/24","20/08/2023","02/05/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע דחוף","סיום טיפול","בלתי מוצדק","25/07/2024","84",
" 294/22","22/03/2022","13/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","נהלי חקירת ירי","סיום טיפול","מוצדק","28/08/2022","46",
" 275/23","18/07/2023","18/07/2023","טופס מקוון","עמותה","תורת לחימה","אי מתן מענה","צה"ל","מימון לתהליכי שינוי מין","סיום טיפול","מוצדק","21/09/2023","65",
" 394/23","29/03/2023","04/09/2023","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","שירות בתי הסוהר","אסירים זרים","סיום טיפול","מוצדק","24/01/2024","143",
" 325/23","19/04/2022","14/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","מידע דחוף","סיום טיפול","מוצדק","07/03/2024","206",
" 5/22","27/05/2021","03/01/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","וועדת ההיגוי לטיפול במרחבים סגורים ","סיום טיפול","מוצדק","26/05/2022","143",
" 225/24","14/03/2024","26/06/2024","טופס מקוון","עמותה","המרכז להעצמת האזרח","אי מתן מענה","משרד העבודה","יישום החלטת ממשלה 1226 - הוקרה, סיוע ותגמול לחיילי מילואים המשרתים במלחמת "חרבות ברזל" ותיקון החלטת ממשלה","סיום טיפול","מוצדק","03/07/2024","7",
" 302/24","17/04/2024","25/08/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מפעלי מזון במחוז חיפה","סיום טיפול","מוצדק","08/10/2024","44",
" 97/24","19/09/2023","17/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד העבודה","עגורנאים","סיום טיפול","מוצדק","29/05/2024","73",
" 141/23","16/11/2022","03/04/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מסמכים ביחס לדיווח על אשפוזו ומותו של איתי למברסקי","סיום טיפול","מוצדק","07/09/2023","157",
" 217/22","14/03/2022","19/05/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","מתן כמויות  של מים שהוזרמו לאגודה ובקשות נוספות","סיום טיפול","מוצדק","13/07/2022","56",
" 311/23","29/05/2023","06/08/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","אלין בית נועם - פרוטוקולים","סיום טיפול","מוצדק","19/09/2023","44",
" 366/23","23/07/2023","24/08/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","פיילוט הסעות בחינוך המיוחד","סיום טיפול","בלתי מוצדק","30/08/2023","6",
" 605/21","24/08/2021","07/12/2021","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","דין משמעתי של חיילי צה"ל","סיום טיפול","מוצדק","14/02/2022","69",
" 36/22","26/12/2021","30/01/2022","טופס מקוון","אזרח","","אי מתן מענה","בית חולים וולפסון","שאלוני שביעות רצון חדר 4","סיום טיפול","מוצדק","27/02/2022","28",
" 317/24","29/04/2024","08/09/2024","טופס מקוון","עמותה","העמותה הקהילתית גבעת מרדכי","אי מתן מענה","משרד הבריאות","ניגודי עניינים בועדת סל התרופות","סיום טיפול","מוצדק","15/10/2024","37",
" 596/21","02/05/2021","26/11/2021","טופס מקוון","אחר","","אי מתן מענה","המשרד להגנת הסביבה","אכיפה ורגולציה בענפי החקלאות מהחי","סיום טיפול","מוצדק","26/05/2022","182",
" 8/23","23/11/2022","08/01/2023","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","מסדרון וצוואר בקבוק אקולוגי גדרה","סיום טיפול","בלתי מוצדק","22/05/2024","500",
" 74/23","28/12/2022","01/03/2023","טופס מקוון","עמותה","תנו לחיות לחיות","אי מתן מענה","משרד הבריאות","חלופות ניסויים משרד הבריאות","סיום טיפול","מוצדק","15/06/2023","106",
" 385/24","06/05/2023","07/11/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות"," דיווחים על תופעות לוואי בדף הפייס","בטיפול","","","18",
" 3/24","19/09/2023","02/01/2024","טופס מקוון","עמותה","מרכז טאוב לחקר המדיניות החברתית בישראל","אי מתן מענה","המשרד להגנת הסביבה","דוחות נתוני איכות אויר","סיום טיפול","בלתי מוצדק","18/01/2024","16",
" 298/23","15/06/2023","27/07/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משרד המשפטים","עיון בהקדש","סיום טיפול","מוצדק","24/08/2023","28",
" 397/24","15/09/2024","14/11/2024","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","הכנסת והוצאת כספים אל ומרצועת עזה","סיום טיפול","בלתי מוצדק","17/11/2024","3",
" 58/24","05/02/2024","14/02/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","חופש מידע ","סיום טיפול","בלתי מוצדק","15/02/2024","1",
" 351/24","23/11/2023","08/10/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות החברות הממשלתיות","התקשרויות מערכת הביטחון הוראת שעה","סיום טיפול","מוצדק","14/11/2024","37",
" 231/23","10/05/2023","15/06/2023","טופס מקוון","עמותה","אלו"ט","אי מתן מענה","משרד החינוך","קיצור ימי לימודים תשפג","סיום טיפול","מוצדק","06/07/2023","21",
" 33/24","27/12/2023","01/02/2024","טופס מקוון","אזרח","","אי מתן מענה","המשרד לביטחון לאומי","נתונים על בקשות לקבלת רשיון נשק","סיום טיפול","מוצדק","29/02/2024","28",
" 162/22","21/11/2021","13/04/2022","טופס מקוון","חברה","","אי מתן מענה","משרד הרווחה והשירותים החברתיים","אישור או התנגדות למינוי מנהלי עבודה בבנייה","סיום טיפול","מוצדק","11/09/2022","151",
" 402/24","15/07/2024","20/11/2024","טופס מקוון","אחר","","אי מתן מענה","מנהל אזרחי אזור יהודה ושומרון","מסמכים בגין בקשה להיתר בניה","בטיפול","","","5",
" 255/22","23/02/2022","13/06/2022","טופס מקוון","עמותה","ארגון אלמנות ויתומי צה"ל","אי מתן מענה","צה"ל","נתונים תגמולים אלמנות צה"ל","סיום טיפול","מוצדק","04/09/2022","83",
" 134/23","22/01/2023","02/04/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","אי-מתן מענה","סיום טיפול","מוצדק","10/08/2023","130",
" 479/22","22/06/2022","12/12/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבינוי והשיכון","הגרלה 472 פרוייקט "השמורה" - האחים חסיד","סיום טיפול","מוצדק","05/01/2023","24",
" 89/24","11/02/2024","14/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","נוהל פריסת פקחים בקווי עליה מכל הדלתות","סיום טיפול","מוצדק","22/05/2024","70",
" 145/23","15/03/2023","16/04/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","פרוטוקול ועדת האכיפה","סיום טיפול","מוצדק","18/12/2023","246",
" 123/22","23/08/2021","24/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פנייה מספר 285393","סיום טיפול","בלתי מוצדק","09/05/2022","46",
" 487/22","18/10/2022","22/12/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","פרוייקט ציל"ה","סיום טיפול","מוצדק","20/02/2023","60",
" 58/22","14/02/2022","14/02/2022","טופס מקוון","אחר","","אי מתן מענה","משרד ראש הממשלה","גיורים וועדות חריגים","סיום טיפול","מוצדק","26/05/2022","101",
" 180/22","10/03/2022","25/04/2022","טופס מקוון","אזרח","","אי מתן מענה","המשרד להגנת הסביבה","בקשה לקבלת סיכום פגישה קמין עצים","סיום טיפול","בלתי מוצדק","16/05/2022","21",
" 45/22","24/11/2021","07/02/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","אימות מידע שהתקבל ממוסד אחר ","סיום טיפול","מוצדק","26/05/2022","108",
" 355/24","02/05/2024","10/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","מידע על זכאות משפחות לתווי מזון לפי ישוב ","בטיפול","","","46",
" 324/22","02/08/2022","03/08/2022","טופס מקוון","אזרח","","חוסר בהנמקה","רשות האוכלוסין וההגירה","תעודות מעבר לילדי אומנה חסרי מעמד ","סיום טיפול","בלתי מוצדק","18/08/2022","15",
" 242/23","26/05/2022","22/06/2023","טופס מקוון","עמותה","טרנסג'נדרים למען צדק חברתי","אי מתן מענה","משרד הבריאות","זמני המתנה לניתוח להתאמה מגדרית","סיום טיפול","מוצדק","20/12/2023","181",
" 152/22","23/11/2021","06/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","קבלת חומרים נלווים בנוגע לפרסום","סיום טיפול","מוצדק","01/08/2022","117",
" 279/22","27/02/2022","27/06/2022","טופס מקוון","אחר","","אי מתן מענה","משרד התיירות","מיזם אמפיסטאר מכתש רמון","סיום טיפול","מוצדק","20/07/2022","23",
" 229/23","02/01/2023","15/06/2023","טופס מקוון","אזרח","","אי מתן מענה","רשות האוכלוסין וההגירה","מדיניות התנדבות ","סיום טיפול","מוצדק","04/09/2023","81",
" 273/23","24/09/2022","14/07/2023","טופס מקוון","עמותה","אזרחים למען אוויר נקי","אי מתן מענה","המשרד להגנת הסביבה","פעילות מוקד הסביבה","סיום טיפול","מוצדק","25/07/2023","11",
" 285/22","15/05/2022","30/06/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בירור לגבי העברת מענק מיוחד","סיום טיפול","מוצדק","05/07/2022","5",
" 422/22","22/05/2022","04/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מחלת פוליו בארץ","סיום טיפול","מוצדק","04/05/2023","181",
" 385/22","17/07/2022","18/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מידע חייב בפרסום לעניין אישי","סיום טיפול","מוצדק","03/05/2023","227",
" 138/23","21/06/2021","03/04/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פעילות הדסק החרדי בקורונה","סיום טיפול","מוצדק","10/08/2023","129",
" 408/22","05/09/2022","18/10/2022","טופס מקוון","אחר","","אי מתן מענה","רשות החברות הממשלתיות"," פרטים על הוועדה המייעצת בנושא מינוי דירקטורים","סיום טיפול","בלתי מוצדק","23/04/2023","187",
" 289/22","15/02/2022","06/07/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","מידע לגבי יבוא טובין","סיום טיפול","מוצדק","11/09/2022","67",
" 244/24","02/05/2024","11/07/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד הפנים","נתונים לגבי תווי המזון - סבב שני ","סיום טיפול","בלתי מוצדק","15/07/2024","4",
" 337/24","16/07/2024","26/09/2024","טופס מקוון","אזרח","","אי מתן מענה","רשות מקרקעי ישראל","מידע בנוגע להרחבה בכפר פינס, תוכניות והסכם פשרה","סיום טיפול","מוצדק","14/10/2024","18",
" 137/23","15/01/2023","03/04/2023","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","משרד החקלאות ופיתוח הכפר","אגף הדיג","סיום טיפול","מוצדק","10/07/2023","99",
" 118/22","09/02/2022","23/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","החלטות בדבר בנק הדם","סיום טיפול","מוצדק","26/05/2022","64",
" 426/22","05/09/2022","10/11/2022","טופס מקוון","אחר","","אי מתן מענה","רשות החברות הממשלתיות","אי מתן מענה גם אחרי ארכה","סיום טיפול","מוצדק","23/04/2023","164",
" 375/22","04/07/2022","05/09/2022","טופס מקוון","אזרח","","אי מתן מענה","צה"ל","מידע על התנהלות בשער שני במודל הקבע","סיום טיפול","מוצדק","04/05/2023","241",
" 278/23","10/02/2022","19/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","בקשת מידע","סיום טיפול","בלתי מוצדק","29/02/2024","225",
" 40/23","23/09/2022","07/02/2023","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","מספר הפלסטינים בגדה המערבית וברצועת עזה","סיום טיפול","מוצדק","19/02/2023","12",
" 386/24","13/06/2024","08/11/2024","טופס מקוון","עמותה","נדן - סיוע משפטי לחיילים בשירות חובה","אי מתן מענה","משרד המשפטים","מתווכים","סיום טיפול","מוצדק","18/11/2024","10",
" 374/22","31/08/2022","04/09/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הביטחון","מידע על אגף שיקום נכים במשהבט","סיום טיפול","בלתי מוצדק","08/09/2022","4",
